Instrument,YahooStockSymbol
SRPL,SRPL.NS
SSWL,SSWL.NS
STAR,STAR.NS
STARCEMENT,STARCEMENT.NS
STARHEALTH,STARHEALTH.NS
STARPAPER,STARPAPER.NS
STARTECK,STARTECK.NS
STCINDIA,STCINDIA.NS
STEELCAS,STEELCAS.NS
STEELCITY,STEELCITY.NS
STEELXIND,STEELXIND.NS
STEL,STEL.NS
STERTOOLS,STERTOOLS.NS
STLTECH,STLTECH.NS
STOVEKRAFT,STOVEKRAFT.NS
STYLAMIND,STYLAMIND.NS
STYRENIX,STYRENIX.NS
SUBEXLTD,SUBEXLTD.NS
SUBROS,SUBROS.NS
SUDARSCHEM,SUDARSCHEM.NS
SUKHJITS,SUKHJITS.NS
SULA,SULA.NS
SUMICHEM,SUMICHEM.NS
SUMMITSEC,SUMMITSEC.NS
SUNCLAYLTD,SUNCLAYLTD.NS
SUNDARAM,SUNDARAM.NS
SUNDARMFIN,SUNDARMFIN.NS
SUNDARMHLD,SUNDARMHLD.NS
SUNDRMBRAK,SUNDRMBRAK.NS
SUNDRMFAST,SUNDRMFAST.NS
SUNFLAG,SUNFLAG.NS
SUNPHARMA,SUNPHARMA.NS
SUNTECK,SUNTECK.NS
SUNTV,SUNTV.NS
SUPERHOUSE,SUPERHOUSE.NS
SUPERSPIN,SUPERSPIN.NS
SUPRAJIT,SUPRAJIT.NS
SUPREMEENG,SUPREMEENG.NS
SUPREMEIND,SUPREMEIND.NS
SUPREMEINF,SUPREMEINF.NS
SUPRIYA,SUPRIYA.NS
SURANASOL,SURANASOL.NS
SURANAT&P,SURANAT&P.NS
SURYALAXMI,SURYALAXMI.NS
SURYAROSNI,SURYAROSNI.NS
SURYODAY,SURYODAY.NS
SUTLEJTEX,SUTLEJTEX.NS
SUULD,SUULD.NS
SUVEN,SUVEN.NS
SUVENPHAR,SUVENPHAR.NS
SUVIDHAA,SUVIDHAA.NS
SUZLON,SUZLON.NS
SVPGLOB,SVPGLOB.NS
SWANENERGY,SWANENERGY.NS
SWARAJENG,SWARAJENG.NS
SWELECTES,SWELECTES.NS
SWSOLAR,SWSOLAR.NS
SYMPHONY,SYMPHONY.NS
SYNCOMF,SYNCOMF.NS
SYNGENE,SYNGENE.NS
SYRMA,SYRMA.NS
TAJGVK,TAJGVK.NS
TAKE,TAKE.NS
TALBROAUTO,TALBROAUTO.NS
TANLA,TANLA.NS
TARAPUR,TARAPUR.NS
TARC,TARC.NS
TARMAT,TARMAT.NS
TARSONS,TARSONS.NS
TASTYBITE,TASTYBITE.NS
TATACHEM,TATACHEM.NS
TATACOFFEE,TATACOFFEE.NS
TATACOMM,TATACOMM.NS
TATACONSUM,TATACONSUM.NS
TATAELXSI,TATAELXSI.NS
TATAINVEST,TATAINVEST.NS
TATAMETALI,TATAMETALI.NS
TATAMOTORS,TATAMOTORS.NS
TATAMTRDVR,TATAMTRDVR.NS
TATAPOWER,TATAPOWER.NS
TATASTEEL,TATASTEEL.NS
TATASTLLP,TATASTLLP.NS
TATVA,TATVA.NS
TBZ,TBZ.NS
TCI,TCI.NS
TCIEXP,TCIEXP.NS
TCNSBRANDS,TCNSBRANDS.NS
TCPLPACK,TCPLPACK.NS
TCS,TCS.NS
TDPOWERSYS,TDPOWERSYS.NS
TEAMLEASE,TEAMLEASE.NS
TECH,TECH.NS
TECHIN,TECHIN.NS
TECHM,TECHM.NS
TECHNOE,TECHNOE.NS
TEGA,TEGA.NS
TEJASNET,TEJASNET.NS
TEMBO,TEMBO.NS
TERASOFT,TERASOFT.NS
TEXINFRA,TEXINFRA.NS
TEXMOPIPES,TEXMOPIPES.NS
TEXRAIL,TEXRAIL.NS
TFCILTD,TFCILTD.NS
TFL,TFL.NS
TGBHOTELS,TGBHOTELS.NS
THANGAMAYL,THANGAMAYL.NS
THEINVEST,THEINVEST.NS
THEMISMED,THEMISMED.NS
THERMAX,THERMAX.NS
THOMASCOOK,THOMASCOOK.NS
THYROCARE,THYROCARE.NS
TI,TI.NS
TIDEWATER,TIDEWATER.NS
TIIL,TIIL.NS
TIINDIA,TIINDIA.NS
TIMESGTY,TIMESGTY.NS
TIMETECHNO,TIMETECHNO.NS
TIMKEN,TIMKEN.NS
TINPLATE,TINPLATE.NS
TIPSFILMS,TIPSFILMS.NS
TIPSINDLTD,TIPSINDLTD.NS
TIRUMALCHM,TIRUMALCHM.NS
TIRUPATIFL,TIRUPATIFL.NS
TITAN,TITAN.NS
TMB,TMB.NS
TNIDETF,TNIDETF.NS
TNPETRO,TNPETRO.NS
TNPL,TNPL.NS
TOKYOPLAST,TOKYOPLAST.NS
TORNTPHARM,TORNTPHARM.NS
TORNTPOWER,TORNTPOWER.NS
TOTAL,TOTAL.NS
TPLPLASTEH,TPLPLASTEH.NS
TRACXN,TRACXN.NS
TREEHOUSE,TREEHOUSE.NS
TREJHARA,TREJHARA.NS
TRENT,TRENT.NS
TRF,TRF.NS
TRIDENT,TRIDENT.NS
TRIGYN,TRIGYN.NS
TRIL,TRIL.NS
TRITURBINE,TRITURBINE.NS
TRIVENI,TRIVENI.NS
TRU,TRU.NS
TTKHLTCARE,TTKHLTCARE.NS
TTKPRESTIG,TTKPRESTIG.NS
TTL,TTL.NS
TTML,TTML.NS
TV18BRDCST,TV18BRDCST.NS
TVSELECT,TVSELECT.NS
TVSMOTOR,TVSMOTOR.NS
TVSSRICHAK,TVSSRICHAK.NS
TVTODAY,TVTODAY.NS
TWL,TWL.NS
UBL,UBL.NS
UCALFUEL,UCALFUEL.NS
UCOBANK,UCOBANK.NS
UDAICEMENT,UDAICEMENT.NS
UFLEX,UFLEX.NS
UFO,UFO.NS
UGARSUGAR,UGARSUGAR.NS
UGROCAP,UGROCAP.NS
UJJIVAN,UJJIVAN.NS
UJJIVANSFB,UJJIVANSFB.NS
ULTRACEMCO,ULTRACEMCO.NS
UMAEXPORTS,UMAEXPORTS.NS
UMANGDAIRY,UMANGDAIRY.NS
UMESLTD,UMESLTD.NS
UNICHEMLAB,UNICHEMLAB.NS
UNIDT,UNIDT.NS
UNIENTER,UNIENTER.NS
UNIINFO,UNIINFO.NS
UNIONBANK,UNIONBANK.NS
UNIPARTS,UNIPARTS.NS
UNITEDTEA,UNITEDTEA.NS
UNIVASTU,UNIVASTU.NS
UNIVCABLES,UNIVCABLES.NS
UNIVPHOTO,UNIVPHOTO.NS
UNOMINDA,UNOMINDA.NS
UPL,UPL.NS
URJA,URJA.NS
USHAMART,USHAMART.NS
UTIAMC,UTIAMC.NS
UTIBANKETF,UTIBANKETF.NS
UTINEXT50,UTINEXT50.NS
UTINIFTETF,UTINIFTETF.NS
UTISENSETF,UTISENSETF.NS
UTISXN50,UTISXN50.NS
UTTAMSUGAR,UTTAMSUGAR.NS
V2RETAIL,V2RETAIL.NS
VADILALIND,VADILALIND.NS
VAIBHAVGBL,VAIBHAVGBL.NS
VAISHALI,VAISHALI.NS
VAKRANGEE,VAKRANGEE.NS
VALIANTORG,VALIANTORG.NS
VARDHACRLC,VARDHACRLC.NS
VARDMNPOLY,VARDMNPOLY.NS
VARROC,VARROC.NS
VASCONEQ,VASCONEQ.NS
VASWANI,VASWANI.NS
VBL,VBL.NS
VCL,VCL.NS
VEDL,VEDL.NS
VENKEYS,VENKEYS.NS
VENUSPIPES,VENUSPIPES.NS
VENUSREM,VENUSREM.NS
VERANDA,VERANDA.NS
VESUVIUS,VESUVIUS.NS
VETO,VETO.NS
VGUARD,VGUARD.NS
VHL,VHL.NS
VIDHIING,VIDHIING.NS
VIJAYA,VIJAYA.NS
VIKASECO,VIKASECO.NS
VIKASLIFE,VIKASLIFE.NS
VIMTALABS,VIMTALABS.NS
VINATIORGA,VINATIORGA.NS
VINDHYATEL,VINDHYATEL.NS
VINEETLAB,VINEETLAB.NS
VINYLINDIA,VINYLINDIA.NS
VIPCLOTHNG,VIPCLOTHNG.NS
VIPIND,VIPIND.NS
VISAKAIND,VISAKAIND.NS
VISHAL,VISHAL.NS
VISHNU,VISHNU.NS
VISHWARAJ,VISHWARAJ.NS
VIVIDHA,VIVIDHA.NS
VLSFINANCE,VLSFINANCE.NS
VMART,VMART.NS
VOLTAMP,VOLTAMP.NS
VOLTAS,VOLTAS.NS
VRLLOG,VRLLOG.NS
VSSL,VSSL.NS
VSTIND,VSTIND.NS
VSTTILLERS,VSTTILLERS.NS
VTL,VTL.NS
WABAG,WABAG.NS
WALCHANNAG,WALCHANNAG.NS
WATERBASE,WATERBASE.NS
WEALTH,WEALTH.NS
WEBELSOLAR,WEBELSOLAR.NS
WEIZMANIND,WEIZMANIND.NS
WEL,WEL.NS
WELCORP,WELCORP.NS
WELENT,WELENT.NS
WELINV,WELINV.NS
WELSPUNIND,WELSPUNIND.NS
WENDT,WENDT.NS
WESTLIFE,WESTLIFE.NS
WEWIN,WEWIN.NS
WHEELS,WHEELS.NS
WHIRLPOOL,WHIRLPOOL.NS
WILLAMAGOR,WILLAMAGOR.NS
WINDLAS,WINDLAS.NS
WINDMACHIN,WINDMACHIN.NS
WINPRO,WINPRO.NS
WIPRO,WIPRO.NS
WOCKPHARMA,WOCKPHARMA.NS
WONDERLA,WONDERLA.NS
WORTH,WORTH.NS
WSTCSTPAPR,WSTCSTPAPR.NS
XCHANGING,XCHANGING.NS
XELPMOC,XELPMOC.NS
XPROINDIA,XPROINDIA.NS
YAARI,YAARI.NS
YESBANK,YESBANK.NS
YUKEN,YUKEN.NS
ZEEL,ZEEL.NS
ZEELEARN,ZEELEARN.NS
ZEEMEDIA,ZEEMEDIA.NS
ZENITHEXPO,ZENITHEXPO.NS
ZENITHSTL,ZENITHSTL.NS
ZENSARTECH,ZENSARTECH.NS
ZENTEC,ZENTEC.NS
ZFCVINDIA,ZFCVINDIA.NS
ZIMLAB,ZIMLAB.NS
ZODIAC,ZODIAC.NS
ZODIACLOTH,ZODIACLOTH.NS
ZOMATO,ZOMATO.NS
ZOTA,ZOTA.NS
ZUARI,ZUARI.NS
ZUARIIND,ZUARIIND.NS
ZYDUSLIFE,ZYDUSLIFE.NS
ZYDUSWELL,ZYDUSWELL.NS
